Detector type,Descriptor type,Average matches,Average time
BRISK,SIFT,182,50.40
SIFT,BRISK,65,72.35
AKAZE,BRISK,135,47.37
FAST,BRIEF,122,1.52
SHITOMASI,BRIEF,104,11.60
ORB,BRIEF,60,6.05
HARRIS,FREAK,16,39.37
AKAZE,BRIEF,140,47.13
SHITOMASI,FREAK,85,37.15
ORB,BRISK,83,6.24
FAST,BRISK,99,2.20
ORB,SIFT,84,30.76
FAST,FREAK,97,30.03
BRISK,BRISK,174,32.31
AKAZE,AKAZE,139,85.64
FAST,ORB,120,3.70
BRISK,FREAK,169,59.17
BRISK,ORB,167,38.75
HARRIS,SIFT,18,26.36
BRISK,BRIEF,189,31.20
AKAZE,ORB,131,52.97
SHITOMASI,SIFT,103,25.11
SHITOMASI,BRISK,85,11.80
ORB,FREAK,46,33.82
AKAZE,SIFT,141,62.82
SIFT,BRIEF,78,83.90
HARRIS,BRISK,15,13.83
FAST,SIFT,116,15.68
ORB,ORB,84,15.05
AKAZE,FREAK,132,75.34
HARRIS,ORB,17,15.46
HARRIS,BRIEF,19,13.14
SIFT,FREAK,66,115.82
SHITOMASI,ORB,100,13.94
SIFT,SIFT,88,132.99
